model,horizon,accuracy,macro_f1,bear_f1,bull_f1,brier_score,sharpe
1_static,7,0.48185030517185995,0.43729151007918177,0.2789450156459544,0.5956380045124091,0.2533394123650336,-1.3312950352203858
2_rolling_uniform,7,0.5168647606810151,0.5159544376329537,0.5369458128078818,0.4949630624580255,0.25015611204224886,1.0298890405611514
3_al_margin_weighted,7,0.5130099582396402,0.5125934573840938,0.5268414481897628,0.4983454665784249,0.2502864885761159,1.0580864283522635
4_al_entropy_weighted,7,0.5187921619017025,0.5180397369062926,0.5370828182941904,0.49899665551839467,0.2501673614409797,1.0666387727523796
5_al_qbc_weighted,7,0.5332476710568583,0.5319166616735034,0.506956226671191,0.5568770966758158,0.25017808904928596,1.395079012411993
6_al_selective_retrain,7,0.49566334725345323,0.4907101741047797,0.5409356725146199,0.44048467569493943,0.25271127817546996,-0.30605511193424895
1_static,14,0.4761751448808757,0.3883419409102523,0.1565578019699326,0.620126079850572,0.2657243001798703,-1.8256431320670907
2_rolling_uniform,14,0.5331616226658081,0.5328517153491668,0.5208195637805684,0.5448838669177652,0.24881695875863272,1.2046700268192354
3_al_margin_weighted,14,0.5270444301352222,0.5268372088344606,0.5169352186780665,0.5367391989908546,0.24921905506910577,1.3626447050097357
4_al_entropy_weighted,14,0.5315518351577592,0.5311493828947225,0.5174129353233831,0.544885830466062,0.24907510029891275,1.194225766330836
5_al_qbc_weighted,14,0.5585962652929813,0.5519959954159379,0.4976181751557347,0.6063738156761412,0.2494814531320323,1.8802461595572493
6_al_selective_retrain,14,0.4729555698647778,0.4653271774455169,0.5291918320391141,0.4014625228519196,0.25900585259227915,-0.04204781002802289
1_static,30,0.46375404530744335,0.3831474128208832,0.16016218955904712,0.6061326360827193,0.2858716606943872,-1.9325105845960835
2_rolling_uniform,30,0.5660194174757281,0.5652617296050898,0.547112462006079,0.5834109972041006,0.2467998572670075,2.3590184117030897
3_al_margin_weighted,30,0.5637540453074433,0.562750965862974,0.5418082936777702,0.5836936380481779,0.2482918232596216,2.312352882248368
4_al_entropy_weighted,30,0.5679611650485437,0.5671102200143956,0.5479173721639011,0.58630306786489,0.24702958389160967,2.3204747791974856
5_al_qbc_weighted,30,0.573462783171521,0.5669130235970947,0.5136531365313654,0.6201729106628242,0.24699984203287417,2.5934106723564825
6_al_selective_retrain,30,0.486084142394822,0.4832209958715983,0.5216867469879518,0.44475524475524475,0.25866924877502695,-0.21724823615036964
