fundingTime,symbol,fundingRate,markPrice,rateType
2026-03-24 00:00:00.000,BTCUSDT,4.229e-05,70868.68562319,Regular
2026-03-24 08:00:00.000,BTCUSDT,3.675e-05,71264.00000000,Regular
2026-03-24 16:00:00.003,BTCUSDT,3.056e-05,69842.40000000,Regular
2026-03-25 00:00:00.000,BTCUSDT,2.31e-05,70525.82657246,Regular
2026-03-25 08:00:00.000,BTCUSDT,1.074e-05,70899.90000000,Regular
2026-03-25 16:00:00.013,BTCUSDT,4.721e-05,70803.40069565,Regular
2026-03-26 00:00:00.001,BTCUSDT,2.448e-05,71297.60000000,Regular
2026-03-26 08:00:00.001,BTCUSDT,1.379e-05,70053.80000000,Regular
2026-03-26 16:00:00.000,BTCUSDT,-2.103e-05,69060.70000000,Regular
2026-03-27 00:00:00.006,BTCUSDT,2.925e-05,68788.10000000,Regular
2026-03-27 08:00:00.000,BTCUSDT,-6.298e-05,68496.90000000,Regular
2026-03-27 16:00:00.000,BTCUSDT,-5.841e-05,66091.90000000,Regular
2026-03-28 00:00:00.005,BTCUSDT,-8.088e-05,66364.20000000,Regular
2026-03-28 08:00:00.005,BTCUSDT,-7.604e-05,66523.62176812,Regular
2026-03-28 16:00:00.000,BTCUSDT,-1.73e-06,66998.71209420,Regular
2026-03-29 00:00:00.003,BTCUSDT,-3.68e-05,66337.79104948,Regular
2026-03-29 08:00:00.001,BTCUSDT,-1.2e-07,66633.22935507,Regular
2026-03-29 16:00:00.000,BTCUSDT,2.677e-05,66500.00000000,Regular
2026-03-30 00:00:00.000,BTCUSDT,3e-06,65973.40000000,Regular
2026-03-30 08:00:00.005,BTCUSDT,4.92e-06,67596.69581884,Regular
2026-03-30 16:00:00.000,BTCUSDT,7.58e-06,67595.59310345,Regular
2026-03-31 00:00:00.000,BTCUSDT,1.16e-06,66764.40000000,Regular
2026-03-31 08:00:00.000,BTCUSDT,-1.921e-05,67343.90000000,Regular
2026-03-31 16:00:00.000,BTCUSDT,-2.763e-05,66700.00000000,Regular
2026-04-01 00:00:00.000,BTCUSDT,-3.449e-05,68243.29673913,Regular
2026-04-01 08:00:00.000,BTCUSDT,-4.61e-06,68668.60000000,Regular
2026-04-01 16:00:00.000,BTCUSDT,5.77e-06,68876.81806522,Regular
2026-04-02 00:00:00.003,BTCUSDT,3.521e-05,68086.50000000,Regular
2026-04-02 08:00:00.001,BTCUSDT,8.45e-06,66888.20861594,Regular
2026-04-02 16:00:00.001,BTCUSDT,-7.398e-05,66819.54021739,Regular
2026-04-03 00:00:00.000,BTCUSDT,-8.31e-06,66869.74346667,Regular
2026-04-03 08:00:00.008,BTCUSDT,-5.99e-06,67008.70000000,Regular
2026-04-03 16:00:00.008,BTCUSDT,3.51e-06,66809.33805072,Regular
