price,qty
80000.01,8.10448
80000.02,0.00014
80000.36,0.14614
80001.26,0.00625
80001.27,0.004
80001.3,0.01607
80001.99,0.01814
80002.0,1.74943
80002.01,2.80112
80002.02,0.004
80002.58,0.01926
80002.74,0.06405
80003.0,3.1501
80003.01,0.36856
80003.85,0.36034
80003.86,0.31912
80003.89,0.48705
80003.92,0.07667
80003.93,0.20092
80003.94,0.02585
80004.01,7e-05
80004.02,7e-05
80004.03,0.004
80004.43,7e-05
80004.48,0.04
80005.02,7e-05
80005.22,7e-05
80005.23,7e-05
80005.4,0.00284
80005.65,0.00014
80005.66,0.03057
80005.7,7e-05
80005.92,0.02241
80006.01,0.0002
80006.04,0.004
80006.5,7e-05
80006.51,0.00014
80006.65,0.02
80006.66,0.00014
80007.37,0.01705
80007.49,0.92791
80007.5,2.11144
80007.51,0.95305
80007.73,0.00026
80007.74,0.00151
80007.79,7e-05
80007.94,0.02314
80008.0,0.19864
80008.01,0.00204
80008.02,0.18888
80008.05,0.004
80008.14,7e-05
80008.63,0.15007
80008.86,0.0001
80009.34,0.02314
80010.0,7e-05
80010.06,0.004
80010.65,0.12498
80010.99,0.00892
80011.0,0.1
80011.04,0.03057
80011.15,0.00562
80011.26,7e-05
80011.38,0.04013
80011.53,0.00062
80011.79,0.02
80011.83,7e-05
80012.0,0.03
80012.07,0.004
80012.49,0.12112
80012.5,1.22784
80012.51,2.24988
80012.52,0.23932
80012.53,0.3125
80012.54,0.95305
80013.18,0.02
80013.89,7e-05
80014.0,0.03007
80014.08,0.004
80014.38,7e-05
80014.43,0.00399
80014.56,7e-05
80014.65,7e-05
80015.03,7e-05
80015.05,0.35634
80015.39,0.02287
80015.81,0.00026
80016.0,0.03015
80016.01,8e-05
80016.02,0.02328
80016.07,0.02
80016.08,0.02
80016.09,0.004
80016.59,1.13443
80016.83,0.0001
80016.87,0.02
80017.22,0.0006
80017.48,0.06949
80017.5,7e-05
80017.72,2.24988
