price,qty
80000.0,0.36864
79999.99,0.02315
79999.85,7e-05
79999.68,7e-05
79999.52,7e-05
79999.06,7e-05
79999.01,0.00014
79999.0,2.37815
79998.0,0.03028
79997.78,7e-05
79997.54,7e-05
79997.35,7e-05
79997.12,7e-05
79996.57,0.00583
79996.1,0.00062
79996.06,0.00557
79996.0,0.03221
79995.63,0.00026
79994.79,7e-05
79994.78,0.12535
79994.77,0.00906
79994.69,7e-05
79994.6,0.0007
79994.47,0.04011
79994.33,0.00047
79994.12,0.0001
79994.0,0.0302
79993.88,0.00048
79993.56,0.04814
79993.49,0.01087
79993.16,0.02607
79992.92,0.09167
79992.9,7e-05
79992.75,7e-05
79992.65,0.02407
79992.56,7e-05
79992.55,7e-05
79992.53,0.02007
79992.52,0.03014
79992.21,0.01087
79992.06,0.02
79992.0,0.0303
79991.97,0.004
79991.65,0.00014
79991.64,0.38549
79991.52,7e-05
79991.51,7e-05
79990.71,0.00014
79990.7,0.31998
79990.01,7e-05
79990.0,0.034
79989.93,7e-05
79989.7,7e-05
79989.6,0.024
79989.57,0.31248
79989.55,7e-05
79989.52,0.00625
79989.51,0.004
79989.43,7e-05
79988.49,0.36526
79988.31,0.03749
79988.01,7e-05
79988.0,0.034
79987.99,1.17365
79987.98,0.1856
79987.58,0.00026
79987.42,0.00159
79987.21,0.022
79987.03,0.02278
79986.85,0.00048
79986.57,0.00189
79986.41,0.048
79986.35,7e-05
79986.31,7e-05
79986.16,0.0001
79986.0,0.03
79985.99,7e-05
79985.98,0.02
79985.94,0.004
79985.62,0.00399
79985.61,0.04
79985.6,0.02
79985.59,0.02
79985.51,0.12502
79984.93,0.002
79984.92,0.008
79984.72,0.012
79984.71,7e-05
79984.22,0.12
79984.01,2.24977
79984.0,0.27126
79983.93,0.00407
79983.76,0.0171
79983.45,0.0037
79983.32,0.004
79983.19,7e-05
79983.17,0.2
79982.55,7e-05
79982.45,0.00124
79982.09,0.06952
